date,season,hometeam,awayteam,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,qbelo_prob1,qbelo_prob2,correct?
20001112,2000,4,6,1574.528,1365.148,0.829127779,0.170872221,122.7057545,87.50374943,19.81952996,4.349472009,0.785759439,0.214240561,1
20001112,2000,27,26,1526.509,1498.198,0.63114716,0.36885284,48.52945654,100.4894779,-4.678440116,16.03212663,0.569185606,0.430814394,0
20001112,2000,5,22,1486.706,1470.98,0.614127655,0.385872345,84.11762033,96.9400059,-21.04176005,11.55280533,0.543548088,0.456451912,0
20001112,2000,15,28,1489.86,1421.201,0.683391748,0.316608252,75.97244211,29.81957767,-2.869696641,-9.228701341,0.74858421,0.25141579,0
20001112,2000,14,24,1597.251,1571.665,0.627487915,0.372512085,197.2998711,139.1634766,23.60266622,0.512463922,0.683283373,0.316716627,1
20001113,2000,10,25,1555.895,1622.036,0.498357975,0.501642025,178.6897274,159.2445253,38.4190038,24.50060495,0.506822445,0.493177555,1
20001119,2000,23,11,1525.105,1501.505,0.624811772,0.375188228,86.90695773,20.97403747,0.410830933,4.748687603,0.626131906,0.373868094,0
20001119,2000,12,14,1508.754,1612.973,0.443797833,0.556202167,98.98815603,194.8408403,-1.620104552,21.19301751,0.377585409,0.622414591,0
20001119,2000,3,9,1545.332,1445.538,0.720839681,0.279160319,79.70386694,66.42736687,17.03503508,-17.55867004,0.753560066,0.246439934,1
20001119,2000,27,15,1508.235,1459.601,0.657940519,0.342059481,40.77451559,90.64476917,-8.321988589,4.60995172,0.610305259,0.389694741,0
20001119,2000,26,1,1516.472,1324.291,0.81464097,0.18535903,101.2934784,67.10292256,15.6325205,10.52937299,0.824281123,0.175718877,1
20001119,2000,20,5,1620.265,1456.132,0.789014548,0.210985452,157.6605497,72.84360719,18.65134902,-25.62667861,0.770712153,0.229287847,1
20001119,2000,6,30,1356.366,1611.718,0.250536276,0.749463724,43.44352305,92.06466165,-36.18490508,15.43557834,0.209832669,0.790167331,0
20001119,2000,31,8,1680.867,1282.804,0.934966301,0.065033699,157.853964,-8.635180789,18.51827532,-58.89014655,0.941020313,0.058979687,1
20001119,2000,21,7,1428.421,1315.101,0.736235316,0.263764684,46.28640439,44.23348853,-0.898497983,27.75638684,0.658075264,0.341924736,1
20001119,2000,29,2,1393.559,1376.373,0.616117375,0.383882625,216.4773393,37.34908535,36.79661686,-8.137982138,0.636677519,0.363322481,1
20001119,2000,19,24,1629.517,1555.942,0.689482664,0.310517336,69.10836015,131.4202455,8.661113206,-3.384774826,0.703602754,0.296397246,0
20001119,2000,22,25,1501.554,1608.12,0.440465484,0.559534516,93.30825256,154.6778126,9.159288388,20.99221834,0.433106446,0.566893554,1
20001119,2000,16,4,1518.39,1583.31,0.500115129,0.499884871,134.3091616,92.22999445,17.62422656,-7.764566396,0.547712833,0.452287167,0
20001119,2000,10,17,1569.81,1348.478,0.838655676,0.161344324,63.80921007,-29.9072105,-76.87275938,-41.97295609,0.827367524,0.172632476,1
20001120,2000,18,32,1654.235,1574.085,0.697527287,0.302472713,128.3842433,92.81757661,-52.7991862,-7.118240302,0.544677733,0.455322267,0
20001123,2000,11,21,1532.727,1435.186,0.718222409,0.281777591,42.29112698,46.4270955,15.16979798,-0.78322753,0.728201694,0.271798306,1
20001123,2000,9,20,1428.23,1630.615,0.311985837,0.688014163,52.20142133,177.927548,-23.79370931,27.85228069,0.312845811,0.687154189,1
20001126,2000,25,2,1628.028,1358.626,0.872691923,0.127308077,156.141186,18.58577656,20.67429415,-17.11273742,0.885735681,0.114264319,1
20001126,2000,15,31,1492.873,1683.776,0.326346556,0.673653444,84.32972634,137.6794516,1.221932719,7.505105318,0.334843137,0.665156863,0
20001126,2000,7,27,1308.336,1474.963,0.357780141,0.642219859,-12.67512668,44.23371508,-33.06082792,-6.176289413,0.324135365,0.675864635,1
20001126,2000,14,19,1600.53,1586.98,0.611155082,0.388844918,188.2104776,8.909430328,16.8181853,-48.53529996,0.708399349,0.291600651,0
20001126,2000,17,16,1346.499,1502.292,0.372233597,0.627766403,-8.481592925,65.75876854,-29.1614995,-50.76201318,0.382160684,0.617839316,0
20001126,2000,3,8,1562.64,1279.894,0.880984562,0.119015438,83.75228921,-10.99272403,18.20749446,-57.12441084,0.898077417,0.101922583,1
20001126,2000,30,4,1588.97,1599.409,0.57788043,0.42211957,81.37809174,102.4998955,9.32051447,-2.241387546,0.626930825,0.373069175,1
